Moku,P_valueCORAL20132016,sig_5,,,Moku,P_valueAdColDen20132016,sig_5,,,Moku,P_valueMA20132016,sig_5,,,Moku,P_valueBSR20132016,sig_5,,,Moku,P_valueBSR20132016,sig_5,,,Moku,P_valueREA_Dq120132016,sig_5,,Moku,P_valueCOV_Dq120132016,sig_5,,,Moku,P_valueTotDZ_prev20132016,sig_5,,Moku,P_valuePRIMARY20132016,sig_5,,Moku,P_valueSECONDARY20132016,sig_5,,Moku,P_valuePLANKTIVORE20132016,sig_5,,Moku,P_valuePISCIVORE20132016,sig_5
EWA,0.50927714,no,,,EWA,0.5722196,no,,,EWA,0.18481532,no,,,EWA,0.24923514,no,,,EWA,0.24923514,no,,,EWA,0.28937211,no,,EWA,0.85700023,no,,,EWA,0.10048919,no,,EWA,0.35869729,no,,EWA,0.53901742,no,,EWA,0.98423023,no,,EWA,0.07998831,no
HALELEA,0.27498156,no,,,HALELEA,0.49692456,no,,,HALELEA,0.0128483,Statistically Significant,,,HALELEA,0.4408137,no,,,HALELEA,0.4408137,no,,,HALELEA,0.49353375,no,,HALELEA,0.0419959,Statistically Significant,,,HALELEA,0.25749474,no,,HALELEA,0.66901915,no,,HALELEA,0.66879151,no,,HALELEA,0.26728497,no,,HALELEA,0.28931659,no
HAMAKUAPOKO,0.95619787,no,,,HAMAKUAPOKO,0.63284317,no,,,HAMAKUAPOKO,0.79545264,no,,,HAMAKUAPOKO,0.31201194,no,,,HAMAKUAPOKO,0.31201194,no,,,HAMAKUAPOKO,0.53639008,no,,HAMAKUAPOKO,0.00238885,Statistically Significant,,,HAMAKUAPOKO,0.34421702,no,,HAMAKUAPOKO,0.81244607,no,,HAMAKUAPOKO,0.01982103,Statistically Significant,,HAMAKUAPOKO,0.40348083,no,,HAMAKUAPOKO,0.8298951,no
HANA,0.01898524,Statistically Significant,,,,,,,,HANA,0.67018837,no,,,HANA,0.12502045,no,,,HANA,0.12502045,no,,,HANA,NA,NA,,HANA,0.36635167,no,,,HANA,NA,NA,,HANA,0.02312856,Statistically Significant,,HANA,0.10717266,no,,HANA,0.05969171,no,,HANA,0.57663757,no
HILO,9.13E-13,Statistically Significant,,,HILO,0.4951981,no,,,HILO,0.36869452,no,,,HILO,7.35E-08,Statistically Significant,,,HILO,7.35E-08,Statistically Significant,,,,,,,HILO,0.39826653,no,,,HILO,,,,HILO,0.19606008,no,,HILO,0.86445751,no,,HILO,0.17700001,no,,HILO,0.20080421,no
KAANAPALI,5.72E-06,Statistically Significant,,,KAANAPALI,0.46407396,no,,,KAANAPALI,0.04893832,Statistically Significant,,,KAANAPALI,0.00164459,Statistically Significant,,,KAANAPALI,0.00164459,Statistically Significant,,,KAANAPALI,0.20374128,no,,KAANAPALI,0.79725913,no,,,KAANAPALI,0.58795838,no,,KAANAPALI,0.61934631,no,,KAANAPALI,0.1832899,no,,KAANAPALI,0.3963129,no,,KAANAPALI,0.17799179,no
KALAWA,0.07499897,no,,,KALAWA,0.74084978,no,,,KALAWA,0.01469929,Statistically Significant,,,KALAWA,0.07551646,no,,,KALAWA,0.07551646,no,,,KALAWA,0.00031423,Statistically Significant,,KALAWA,0.00048344,Statistically Significant,,,KALAWA,0.31479028,no,,KALAWA,0.97155356,no,,KALAWA,0.70957483,no,,KALAWA,0.97934657,no,,KALAWA,0.84009522,no
KEALALOLOA,0.81153395,no,,,KEALALOLOA,0.40378153,no,,,KEALALOLOA,0.11245484,no,,,KEALALOLOA,0.52061852,no,,,KEALALOLOA,0.52061852,no,,,KEALALOLOA,0.9109852,no,,KEALALOLOA,0.66004132,no,,,KEALALOLOA,0.08003687,no,,KEALALOLOA,0.11515812,no,,KEALALOLOA,0.58757322,no,,KEALALOLOA,0.85802911,no,,KEALALOLOA,0.23008148,no
KOHALA,0.25896278,no,,,KOHALA,1.13E-10,Statistically Significant,,,KOHALA,0.01405509,Statistically Significant,,,KOHALA,0.44411089,no,,,KOHALA,0.44411089,no,,,KOHALA,0.25338873,no,,KOHALA,0.54643008,no,,,KOHALA,0.13428554,no,,KOHALA,0.98700509,no,,KOHALA,0.62146062,no,,KOHALA,0.76157836,no,,KOHALA,0.2863671,no
KONA KAH,0.80804439,no,,,KONA KAH,0.55891175,no,,,KONA KAH,0.34709695,no,,,KONA KAH,0.84735867,no,,,KONA KAH,0.84735867,no,,,KONA KAH,0.00954557,Statistically Significant,,KONA KAH,0.17366223,no,,,KONA KAH,0.0108668,Statistically Significant,,KONA KAH,0.42705678,no,,KONA KAH,0.89625188,no,,KONA KAH,0.288395,no,,KONA KAH,0.64013298,no
