Moku,P_valueCORAL20132019,sig_5,,Moku,P_valueAdColDen20132019,sig_5,,Moku,P_valueREA_Dq120132019,sig_5,,Moku,P_valueCOV_Dq120132019,sig_5,,Moku,P_valueTotDZ_prev20132019,sig_5,,Moku,P_valuePRIMARY20132019,sig_5,,Moku,P_valueSECONDARY20132019,sig_5,,Moku,P_valuePLANKTIVORE20132019,sig_5,,Moku,P_valuePISCIVORE20132019,sig_5
EWA,0.11169376,no,,EWA,0.9162387,no,,EWA,0.04786352,Statistically Significant,,EWA,0.67948373,no,,EWA,0.30713977,no,,EWA,0.08275985,no,,EWA,0.00726566,Statistically Significant,,EWA,0.45023393,no,,EWA,0.41132232,no
HALELEA,0.1566651,no,,HALELEA,0.27475646,no,,HALELEA,0.89681342,no,,HALELEA,0.00076934,Statistically Significant,,HALELEA,0.01325736,Statistically Significant,,HALELEA,0.76042167,no,,HALELEA,0.9295775,no,,HALELEA,0.05375293,no,,HALELEA,0.34308599,no
HAMAKUA,0.7509596,no,,HAMAKUA,0.04491672,Statistically Significant,,HAMAKUA,0.46585805,no,,HAMAKUA,0.21966039,no,,HAMAKUA,3.85E-01,no,,HAMAKUA,0.36395622,no,,HAMAKUA,0.39756167,no,,HAMAKUA,0.27927435,no,,HAMAKUA,0.60727739,no
HAMAKUAPOKO,0.02631934,Statistically Significant,,HAMAKUAPOKO,0.14566891,no,,HAMAKUAPOKO,0.40951549,no,,HAMAKUAPOKO,0.25735653,no,,HAMAKUAPOKO,0.09438346,no,,HAMAKUAPOKO,0.15657516,no,,HAMAKUAPOKO,0.32174276,no,,HAMAKUAPOKO,0.02532228,Statistically Significant,,HAMAKUAPOKO,0.16014834,no
HANA,0.00200963,Statistically Significant,,HANA,NA,NA,,HANA,NA,NA,,HANA,0.04547878,Statistically Significant,,HANA,NA,NA,,HANA,0.40712186,no,,HANA,0.20730778,no,,HANA,0.48015177,no,,HANA,0.49550288,no
HILO,6.37E-12,Statistically Significant,,HILO,NA,NA,,HILO,NA,NA,,HILO,2.95E-15,Statistically Significant,,HILO,NA,NA,,HILO,0.18659768,no,,HILO,5.88E-14,Statistically Significant,,HILO,6.76E-07,Statistically Significant,,HILO,,
KAANAPALI,6.57E-06,Statistically Significant,,KAANAPALI,0.24679283,no,,KAANAPALI,0.33797687,no,,KAANAPALI,0.37656787,no,,KAANAPALI,0.0223016,Statistically Significant,,KAANAPALI,0.74845901,no,,KAANAPALI,0.09166983,no,,KAANAPALI,0.73416689,no,,KAANAPALI,0.21419774,no
KALAWA,0.00077514,Statistically Significant,,KALAWA,0.82217073,no,,KALAWA,0.18421917,no,,KALAWA,0.0001893,Statistically Significant,,KALAWA,2.07E-01,no,,KALAWA,0.93245084,no,,KALAWA,0.04046342,Statistically Significant,,KALAWA,0.71761263,no,,KALAWA,0.49758745,no
KEALALOLOA,0.05983632,no,,KEALALOLOA,0.02117923,Statistically Significant,,KEALALOLOA,0.89271388,no,,KEALALOLOA,0.00937951,Statistically Significant,,KEALALOLOA,0.33403744,no,,KEALALOLOA,0.81432161,no,,KEALALOLOA,0.89433768,no,,KEALALOLOA,0.55166585,no,,KEALALOLOA,0.05352919,no
KOHALA,0.22277804,no,,KOHALA,3.18E-27,Statistically Significant,,KOHALA,0.00164887,Statistically Significant,,KOHALA,0.59763076,no,,,,,,KOHALA,0.50771935,no,,KOHALA,0.39532565,no,,KOHALA,0.61376533,no,,KOHALA,0.88015235,no
KONA KAH,0.08478143,no,,KONA KAH,0.02498089,Statistically Significant,,KONA KAH,0.67107741,no,,KONA KAH,0.0010908,Statistically Significant,,KONA KAH,0.04755218,Statistically Significant,,KONA KAH,0.52025785,no,,KONA KAH,0.74097673,no,,KONA KAH,0.21736805,no,,KONA KAH,0.94822063,no
KONA KAU,0.73449574,no,,KONA KAU,0.86463212,no,,KONA KAU,0.21138544,no,,KONA KAU,0.1421294,no,,KONA KAU,9.22E-01,no,,KONA KAU,0.44335649,no,,KONA KAU,0.44477782,no,,KONA KAU,0.19284385,no,,KONA KAU,0.33028407,no
KONA MOL,0.26768182,no,,KONA MOL,0.0096059,Statistically Significant,,KONA MOL,0.47438266,no,,KONA MOL,0.5433761,no,,KONA MOL,0.09699905,no,,KONA MOL,0.16710662,no,,KONA MOL,0.0491662,Statistically Significant,,KONA MOL,0.93935434,no,,KONA MOL,0.68827968,no
KONA OAH,0.07847604,no,,KONA OAH,NA,NA,,KONA OAH,NA,NA,,KONA OAH,0.000952,Statistically Significant,,KONA OAH,NA,NA,,KONA OAH,0.02798513,Statistically Significant,,KONA OAH,0.14655852,no,,KONA OAH,0.00855792,Statistically Significant,,KONA OAH,0.0238995,Statistically Significant
KOOLAU KAU,0.05969691,no,,KOOLAU KAU,0.07493212,no,,KOOLAU KAU,0.09327549,no,,KOOLAU KAU,0.8266252,no,,KOOLAU KAU,NA,NA,,KOOLAU KAU,0.70553228,no,,KOOLAU KAU,0.60282733,no,,KOOLAU KAU,0.01375066,Statistically Significant,,KOOLAU KAU,0.52593954,no
