"","Moku","avg","highest_avg"
"1","EWA",85.6033333333333,1453.65
"2","HALELEA",217.07,2096.79
"3","HAMAKUA",134.913333333333,1207.36
"4","HAMAKUALOA",150.093333333333,1710.86
"5","HAMAKUAPOKO",11.2733333333333,637.35
"6","HANA",147.34,2679.52
"7","HILO",197.496666666667,2418.97
"8","HONUAULA",1.49333333333333,305.26
"9","KAANAPALI",143.786666666667,1800.76
"10","KAHIKINUI",1.66,478.5
"11","KALAWA",225.343333333333,1758.15
"12","KALUAKOI",1.11333333333333,219.55
"13","KAU",38.26,1510.09
"14","KAUPO",15.5066666666667,1887.79
"15","KEALALOLOA",44.49,983.9
"16","KIPAHULU",270.826666666667,2690.2
"17","KOHALA",15.66,1146.27
"18","KONA HAW",15.29,588.56
"19","KONA KAU",97.04,1789.37
"20","KONA LAN",3.09666666666667,253.2
"21","KONA MOL",77.9133333333333,1738.93
"22","KONA OAH",91.6066666666667,790.85
"23","KOOLAU KAH",0.0366666666666667,141.23
"24","KOOLAU KAU",106.303333333333,1249.16
"25","KOOLAU LAN",4.69333333333333,250.23
"26","KOOLAU MAU",252.25,2618.45
"27","KOOLAU MOL",31.9266666666667,725.1
"28","KOOLAULOA",171.453333333333,1400.35
"29","KOOLAUPOKO",64.76,1266.97
"30","KULA",16.7633333333333,485.37
"31","LAHAINA",71.3466666666667,1750.6
"32","MANA",19.2833333333333,496.08
"33","NAPALI",85.9333333333333,1587.28
"34","PALAAU",29.91,674.08
"35","PUNA HAW",187.3,1831.02
"36","PUNA KAU",116.563333333333,2209.34
"37","WAIALUA",141.016666666667,1619.19
"38","WAIANAE",36.5133333333333,471.02
"39","WAILUKU",96.89,1576.73
