"","Moku","avg","highest_avg"
"1","EWA",22.1180555555556,"26.44"
"2","HALELEA",20.8061111111111,"26.49"
"3","HAMAKUA",20.1805555555556,"26.02"
"4","HAMAKUALOA",21.1438888888889,"26.19"
"5","HAMAKUAPOKO",20.6727777777778,"26.37"
"6","HANA",22.3302777777778,"26.34"
"7","HILO",18.1033333333333,"26.03"
"8","HONUAULA",19.9397222222222,"26.35"
"9","KAANAPALI",20.7194444444444,"26.36"
"10","KAHIKINUI",14.6511111111111,"17.57"
"11","KALAWA",20.8886111111111,"26.3"
"12","KALUAKOI",23.9030555555556,"26.35"
"13","KAU",16.8052777777778,"25.97"
"14","KAUPO",20.2408333333333,"26.3"
"15","KEALALOLOA",19.8561111111111,"26.37"
"16","KIPAHULU",19.0238888888889,"26.11"
"17","KOHALA",19.5636111111111,"26.03"
"18","KONA HAW",17.7080555555556,"26.03"
"19","KONA KAU",18.8230555555556,"26.5"
"20","KONA LAN",20.1305555555556,"26.22"
"21","KONA MOL",20.1633333333333,"26.34"
"22","KONA OAH",22.2413888888889,"26.44"
"23","KOOLAU KAH",23.8702777777778,"26.18"
"24","KOOLAU KAU",22.72,"26.48"
"25","KOOLAU LAN",21.6283333333333,"26.37"
"26","KOOLAU MAU",21.1741666666667,"26.36"
"27","KOOLAU MOL",21.3530555555556,"26.32"
"28","KOOLAULOA",22.6880555555556,"26.44"
"29","KOOLAUPOKO",23.3841666666667,"26.44"
"30","KULA",15.5716666666667,"26.37"
"31","LAHAINA",18.4105555555556,"26.37"
"32","MANA",19.4044444444444,"26.49"
"33","NAPALI",18.3755555555556,"26.27"
"34","PALAAU",20.9938888888889,"26.34"
"35","PUNA HAW",19.7338888888889,"26.03"
"36","PUNA KAU",22.2411111111111,"26.47"
"37","WAIALUA",21.5963888888889,"26.44"
"38","WAIANAE",21.6561111111111,"26.44"
"39","WAILUKU",21.37,"26.37"
