"","NAME2","ISLAND","date","mean_Kd490_ESA_OC_CCI_8Day_SPAN","q05_Kd490_ESA_OC_CCI_8Day_SPAN","q95_Kd490_ESA_OC_CCI_8Day_SPAN","sd_Kd490_ESA_OC_CCI_8Day_SPAN"
"1","HALELEA","Kauai","2013",0.0396060380256838,0.0322154581546783,0.0555824890732765,0.00786481406960501
"2","HALELEA","Kauai","2016",0.0403941482719448,0.0322005048394203,0.0510347560048103,0.00745485228546774
"3","HALELEA","Kauai","2019",0.0414976967459029,0.0329795233905315,0.0519837841391563,0.00855884283061436
"4","KOOLAU KAU","Kauai","2013",0.0340455291468812,0.0280724549666047,0.0416409680619836,0.00498642745530634
"5","KOOLAU KAU","Kauai","2016",0.0337588244930227,0.0272596383467317,0.0431105673313141,0.00512277295315024
"6","KOOLAU KAU","Kauai","2019",0.0381315459120781,0.0306240813806653,0.0545072689652443,0.00956715260614981
"7","NAPALI","Kauai","2013",0.0430412030521225,0.0321826383471489,0.060788943246007,0.0108478778064699
"8","NAPALI","Kauai","2016",0.0398197615843104,0.0315274083986878,0.0504773510619998,0.00656501095230324
"9","NAPALI","Kauai","2019",0.0404645403490422,0.0329451985657215,0.0514909207820892,0.00962437320552161
"10","MANA","Kauai","2013",0.044244027755996,0.0348699256777763,0.0542090233415365,0.00656962197652333
"11","MANA","Kauai","2016",0.0412057776875952,0.036637968942523,0.0477437898516655,0.00599362084199132
"12","MANA","Kauai","2019",0.0387429503446564,0.0320886697620153,0.0501762952655554,0.00606273289074402
"13","KOOLAU NIH","Niihau","2013",0.0314199750886319,0.0270973209291697,0.0354612719267607,0.00274696068071224
"14","KOOLAU NIH","Niihau","2016",0.030543737390891,0.0267420025542378,0.0353380180895329,0.002633595843364
"15","KOOLAU NIH","Niihau","2019",0.0321250133454166,0.0276518892496824,0.0363355979323387,0.00295955598060505
"16","PUNA KAU","Kauai","2013",0.0328194771123969,0.0272313682362437,0.0376740526407957,0.0051483931439507
"17","PUNA KAU","Kauai","2016",0.0315113885166204,0.0273826797492802,0.0358933340758085,0.00280485239158396
"18","PUNA KAU","Kauai","2019",0.0354089469034621,0.0286947324872017,0.0451428156346083,0.00783623947661615
"19","KONA KAU","Kauai","2013",0.0371394525975623,0.0322320953011513,0.0441681627184153,0.0041544147460913
"20","KONA KAU","Kauai","2016",0.03438679909611,0.0303407117724419,0.0389014158397913,0.00289432687363822
"21","KONA KAU","Kauai","2019",0.0365351227290453,0.0303784407675266,0.0429909035563469,0.00455945429389249
"22","KONA NIH","Niihau","2013",0.034916683793702,0.0294241020455956,0.0421508178114891,0.00462452913255791
"23","KONA NIH","Niihau","2016",0.0339328446920882,0.0285064136609435,0.0399327624589205,0.00391440207891421
