"","Moku","P_valueAdColDen20132019","Mean_2013","Mean_2019","sig_5"
"3","HAMAKUA",0.0449167220943125,9.3219172987446,3.45530067158498,"Statistically Significant"
"NA",NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA
"9","KEALALOLOA",0.0211792280677863,13.9408837575022,8.58978831570649,"Statistically Significant"
"10","KOHALA",3.17978777707951e-27,13.2,2.60801477122247,"Statistically Significant"
"11","KONA KAH",0.0249808941769784,18.1751967749141,10.0300618029238,"Statistically Significant"
"13","KONA MOL",0.00960589691717906,13.7,8.61348184885356,"Statistically Significant"
"NA.2",NA,NA,NA,NA,NA
"17","KOOLAU MOL",6.70009620617586e-08,24.7736757624398,15.9231414013372,"Statistically Significant"
"NA.3",NA,NA,NA,NA,NA
"23","MANA",0.00147066288971599,0.5,5.83206153619056,"Statistically Significant"
"30","WAILUKU",0.00938529565898691,9.20669679423198,3.09914769751104,"Statistically Significant"
