"","Moku","P_valueCOV_Dq120132019","Mean_2013","Mean_2019","sig_5"
"1","HALELEA",0.000769338093010087,1.32858099392714,2.21240458250037,"Statistically Significant"
"2","HANA",0.0454787772423262,2.35620293857322,3.5738548871006,"Statistically Significant"
"3","HILO",2.94690906287078e-15,1.81452731962107,1,"Statistically Significant"
"4","HALAWA",0.000189300981391576,2.20795990177906,3.77971736824328,"Statistically Significant"
"5","KEALALOLOA",0.00937951342255944,2.1385188551122,2.71507266050363,"Statistically Significant"
"6","KONA KAH",0.00109079688299936,2.22910445600494,3.45723028350762,"Statistically Significant"
"7","KONA OAH",0.000952002436096779,1.43101064938976,1,"Statistically Significant"
"8","KOOLAU MOL",0.0242404610045388,4.37354800518183,3.29933098935644,"Statistically Significant"
"9","LAHAINA",2.08934725699809e-05,2.6382927326356,4.59182062576723,"Statistically Significant"
"10","WAIANAE",0.0206222440366141,2.00479625647911,2.76797851690495,"Statistically Significant"
