"","Moku","P_valueJuvColDen20132019","Mean_2013","Mean_2019","sig_5"
"1","EWA",0.00282458531389322,0,12.4140846149589,"Statistically Significant"
"2","HALELEA",0.000843964399088731,0,7.64900677122321,"Statistically Significant"
"3","HAMAKUA",9.82275673701003e-08,0,44.2726545010808,"Statistically Significant"
"4","HAMAKUAPOKO",0.000149762842098626,0,9.13330464338084,"Statistically Significant"
"7","KAANAPALI",0.000481161462850345,0,17.5168126358334,"Statistically Significant"
"8","HALAWA",8.89837837509173e-05,0,6.57870456641902,"Statistically Significant"
"9","KEALALOLOA",0.000165823161694439,0,18.60374217478,"Statistically Significant"
"11","KONA KAH",0.00123563226001355,0,5.3525116698026,"Statistically Significant"
"12","KONA KAU",5.72752749742198e-20,0,15.3820943273218,"Statistically Significant"
"13","KONA MOL",0.000129287342062468,0,6.03354137758473,"Statistically Significant"
"15","KOOLAU KAU",8.63694738423963e-06,0,25.8332592722739,"Statistically Significant"
"16","KOOLAU LAN",0.00270615256884767,0,3.59423231872435,"Statistically Significant"
"17","KOOLAU MOL",0.0333458783076362,0,13.8045071180125,"Statistically Significant"
"19","KOOLAULOA",0.000124758407781834,0,11.2746443165723,"Statistically Significant"
"20","KOOLAUPOKO",0.00309880445716975,0,21.7534527902404,"Statistically Significant"
"22","LAHAINA",0.00108505604153687,0,9.04650507180792,"Statistically Significant"
"24","PALAAU",6.66521653243825e-20,0,8.64520515518253,"Statistically Significant"
"25","PUNA HAW",0.0132129942989826,0,9.44553274496309,"Statistically Significant"
"26","PUNA KAU",0.0132204215747475,0,2.24509176234463,"Statistically Significant"
"27","PUNA NIH",0.00932276393227552,0,1.97595176202951,"Statistically Significant"
"28","WAIALUA",2.61388605714822e-08,0,7.74509318732496,"Statistically Significant"
"29","WAIANAE",0.000287826759659454,0,14.753717383138,"Statistically Significant"
"30","WAILUKU",0.0322736299699484,0,7.91433359229541,"Statistically Significant"
