"","Moku","P_valueTotDZ_prev20132019","Mean_2013","Mean_2019","sig_5"
"2","HALELEA",0.0132573559215362,0.858901003887485,4.64103352712863,"Statistically Significant"
"7","KAANAPALI",0.0223016035992828,0.51850121843199,5.26535513467829,"Statistically Significant"
"10","KOHALA",0.0281320416490139,0,5.22196215942746,"Statistically Significant"
"11","KONA KAH",0.0475521759144202,2.55630537397997,1.12277747167852,"Statistically Significant"
"17","KOOLAU MOL",0.0115093538681694,0.638297872340425,1.38571173322056,"Statistically Significant"
"18","KOOLAU NIH",2.61710793599267e-07,0.407071861927189,5.98112072713235,"Statistically Significant"
"22","LAHAINA",0.0145257062279625,3.75686141841267,0.263732024880434,"Statistically Significant"
"24","PALAAU",1.73573865038597e-70,1.80995442671545,0,"Statistically Significant"
"25","PUNA HAW",0.00257075577435672,0.590942385832531,4.53506483766863,"Statistically Significant"
"29","WAIANAE",0.0418353544471447,0,2.47895636792117,"Statistically Significant"
