NAME2,Year,rain_avg,rain_max,X,X_1319
EWA,2013,82.26,1135.88,0,0
EWA,2019,60.66,815.64,0,-21.6
EWA,1990,94.51,1453.65,-23.05,0
HALELEA,2013,192.07,898.55,0,0
HALELEA,2019,216.96,1344.45,0,24.89
HALELEA,1990,220.86,1830.38,-16.345,0
HAMAKUA,2013,100.85,1085.87,0,0
HAMAKUA,2019,98.83,807.96,0,-2.02
HAMAKUA,1990,180.33,1171.18,-80.49,0
HAMAKUALOA,2013,108.97,945.6,0,0
HAMAKUALOA,2019,119.42,1050.83,0,10.45
HAMAKUALOA,1990,203.82,1506.61,-89.625,0
HAMAKUAPOKO,2013,7.9,308.08,0,0
HAMAKUAPOKO,2019,3.65,419.48,0,-4.25
HAMAKUAPOKO,1990,14.8,497.55,-9.025,0
HANA,2013,116.31,1781.1,0,0
HANA,2019,121.51,1112.72,0,5.2
HANA,1990,182.78,2679.52,-63.87,0
HILO,2013,124.99,1530.72,0,0
HILO,2019,144.56,979.28,0,19.57
HILO,1990,261.36,2418.97,-126.585,0
HONUAULA,2013,1.02,118.46,0,0
HONUAULA,2019,1.51,247.21,0,0.49
HONUAULA,1990,1.78,305.26,-0.515,0
KAANAPALI,2013,128.82,1391.09,0,0
KAANAPALI,2019,109.54,1587.81,0,-19.28
KAANAPALI,1990,190.42,1800.76,-71.24,0
KAHIKINUI,2013,0.96,124.17,0,0
KAHIKINUI,2019,1.16,235.08,0,0.2
KAHIKINUI,1990,2.24,478.5,-1.18,0
KALAWA,2013,149.66,675.97,0,0
KALAWA,2019,133.69,771.38,0,-15.97
KALAWA,1990,277.24,1758.15,-135.565,0
KALUAKOI,2013,0.7,127.68,0,0
KALUAKOI,2019,1.54,202.66,0,0.84
KALUAKOI,1990,1.41,219.55,-0.29,0
KAU,2013,21.22,396.56,0,0
KAU,2019,37.67,624.13,0,16.45
KAU,1990,53.72,1510.09,-24.275,0
KAUPO,2013,14.53,915.87,0,0
KAUPO,2019,14.78,726.28,0,0.25
KAUPO,1990,21.67,1887.79,-7.015,0
KEALALOLOA,2013,31.73,625.68,0,0
KEALALOLOA,2019,25.28,892.45,0,-6.45
KEALALOLOA,1990,50.62,983.9,-22.115,0
KIPAHULU,2013,225.06,1773.22,0,0
KIPAHULU,2019,229.96,1040.02,0,4.9
KIPAHULU,1990,361.95,2690.2,-134.44,0
KOHALA,2013,8.36,869.97,0,0
KOHALA,2019,10.52,588.27,0,2.16
KOHALA,1990,20.75,1146.27,-11.31,0
KONA HAW,2013,10.65,261.36,0,0
KONA HAW,2019,22.69,436.15,0,12.04
KONA HAW,1990,17.46,287.6,-0.79,0
KONA KAH,2013,0,0,0,0
KONA KAH,2019,0,0,0,0
KONA KAH,1990,0,0,0,0
KONA KAU,2013,87.7,793.78,0,0
KONA KAU,2019,106.7,1274.97,0,19
KONA KAU,1990,106.22,1474.01,-9.02,0
KONA LAN,2013,2.2,102.8,0,0
KONA LAN,2019,4.17,202.24,0,1.97
KONA LAN,1990,3.47,253.2,-0.285,0
KONA MOL,2013,52,689.92,0,0
KONA MOL,2019,52.63,782.75,0,0.63
KONA MOL,1990,94.15,1738.93,-41.835,0
KONA NIH,2013,0,0,0,0
KONA NIH,2019,0,0,0,0
KONA NIH,1990,0,0,0,0
KONA OAH,2013,80.38,797.33,0,0
KONA OAH,2019,71.12,499.07,0,-9.26
KONA OAH,1990,100.43,790.85,-24.68,0
KOOLAU KAH,2013,0,14.87,0,0
KOOLAU KAH,2019,0.02,104.48,0,0.02
KOOLAU KAH,1990,0.04,121.2,-0.03,0
KOOLAU KAU,2013,86.36,448.99,0,0
KOOLAU KAU,2019,101.26,591.33,0,14.9
KOOLAU KAU,1990,111.37,1026.76,-17.56,0
KOOLAU LAN,2013,3.12,97.44,0,0
KOOLAU LAN,2019,5.23,203.44,0,2.11
