Moku,Mean Rainfall,Max Rainfall
EWA,68.15,1297.14
HALELEA,198.4,1185.83
HAMAKUA,154.95,872.82
HAMAKUALOA,186.19,947.82
HAMAKUAPOKO,11.13,313.87
HANA,100.89,851.02
HILO,223.07,2167.42
HONUAULA,1.47,230.89
KAANAPALI,154.18,1570.33
KAHIKINUI,1.3,258.32
KALAWA,214.31,2227.48
KALUAKOI,0.8,212.62
KAU,30.23,521.99
KAUPO,15.36,626.91
KEALALOLOA,61.16,1191.28
KIPAHULU,163.2,885.47
KOHALA,14.81,754.18
KONA HAW,14.41,293.49
KONA KAH,0,0
KONA KAU,80.48,941.4
KONA LAN,4.16,260.34
KONA MOL,76.43,2230.01
KONA NIH,NA,NA
KONA OAH,87.31,864.04
KOOLAU KAH,0,0
KOOLAU KAU,80,508.19
KOOLAU LAN,5.41,249.19
KOOLAU MAU,293.71,1421.61
KOOLAU MOL,24.29,377.42
KOOLAU NIH,NA,NA
KOOLAULOA,142.51,1343.84
KOOLAUPOKO,56.71,1169.38
KULA,16.4,231.56
LAHAINA,69.29,1475.85
MANA,13.22,194.21
NAPALI,79.85,598.33
PALAAU,20.67,292.24
PUNA HAW,165.11,1482.46
PUNA KAU,93.79,1046.17
PUNA NIH,NA,NA
WAIALUA,104.34,1326.06
WAIANAE,23.56,268.86
WAILUKU,110.25,1569.49
