Moku,Year,rain_avg,rain_max
EWA,2016,68.15,1297.14
HALELEA,2016,198.4,1185.83
HAMAKUA,2016,154.95,872.82
HAMAKUALOA,2016,186.19,947.82
HAMAKUAPOKO,2016,11.13,313.87
HANA,2016,100.89,851.02
HILO,2016,223.07,2167.42
HONUAULA,2016,1.47,230.89
KAANAPALI,2016,154.18,1570.33
KAHIKINUI,2016,1.3,258.32
KALAWA,2016,214.31,2227.48
KALUAKOI,2016,0.8,212.62
KAU,2016,30.23,521.99
KAUPO,2016,15.36,626.91
KEALALOLOA,2016,61.16,1191.28
KIPAHULU,2016,163.2,885.47
KOHALA,2016,14.81,754.18
KONA HAW,2016,14.41,293.49
KONA KAH,2016,0,0
KONA KAU,2016,80.48,941.4
KONA LAN,2016,4.16,260.34
KONA MOL,2016,76.43,2230.01
KONA NIH,2016,NA,NA
KONA OAH,2016,87.31,864.04
KOOLAU KAH,2016,0,0
KOOLAU KAU,2016,80,508.19
KOOLAU LAN,2016,5.41,249.19
KOOLAU MAU,2016,293.71,1421.61
KOOLAU MOL,2016,24.29,377.42
KOOLAU NIH,2016,NA,NA
KOOLAULOA,2016,142.51,1343.84
KOOLAUPOKO,2016,56.71,1169.38
KULA,2016,16.4,231.56
LAHAINA,2016,69.29,1475.85
MANA,2016,13.22,194.21
NAPALI,2016,79.85,598.33
PALAAU,2016,20.67,292.24
PUNA HAW,2016,165.11,1482.46
PUNA KAU,2016,93.79,1046.17
PUNA NIH,2016,NA,NA
WAIALUA,2016,104.34,1326.06
WAIANAE,2016,23.56,268.86
WAILUKU,2016,110.25,1569.49
