NAME2,Year,rain_avg,rain_max,X,X_1319
EWA,2013,136.71,1044.05,0,0
EWA,2019,105.06,769.37,0,-31.65
EWA,1990,157.12,1407.69,-36.235,0
HALELEA,2013,290.35,899.66,0,0
HALELEA,2019,324.9,1417.86,0,34.55
HALELEA,1990,326.24,1939.86,-18.615,0
HAMAKUA,2013,230.08,1085.87,0,0
HAMAKUA,2019,229.74,805.28,0,-0.34
HAMAKUA,1990,414.99,1171.77,-185.08,0
HAMAKUALOA,2013,226.35,1037.77,0,0
HAMAKUALOA,2019,256.56,1096.24,0,30.21
HAMAKUALOA,1990,445.91,1562.07,-204.455,0
HAMAKUAPOKO,2013,59.02,281.87,0,0
HAMAKUAPOKO,2019,54.37,329.13,0,-4.65
HAMAKUAPOKO,1990,103.22,388.25,-46.525,0
HANA,2013,423.12,1775.45,0,0
HANA,2019,424.2,1191.9,0,1.08
HANA,1990,645.73,2612.9,-222.07,0
HILO,2013,352.88,1594.55,0,0
HILO,2019,366.82,917.02,0,13.94
HILO,1990,708.14,2528.44,-348.29,0
HONUAULA,2013,0,0,0,0
HONUAULA,2019,0,0,0,0
HONUAULA,1990,0,0,0,0
KAANAPALI,2013,248.58,1391.09,0,0
KAANAPALI,2019,206.63,1595.48,0,-41.95
KAANAPALI,1990,350.54,1807.54,-122.935,0
KAHIKINUI,2013,0,0,0,0
KAHIKINUI,2019,0,0,0,0
KAHIKINUI,1990,0,0,0,0
KALAWA,2013,202.58,690.1,0,0
KALAWA,2019,186.27,778.31,0,-16.31
KALAWA,1990,371.12,1762.34,-176.695,0
KALUAKOI,2013,27.13,108.48,0,0
KALUAKOI,2019,41.9,201.81,0,14.77
KALUAKOI,1990,57.32,178.83,-22.805,0
KAU,2013,77.73,269.63,0,0
KAU,2019,132.5,484.61,0,54.77
KAU,1990,222.77,1274.58,-117.655,0
KAUPO,2013,264.12,1111.68,0,0
KAUPO,2019,267.66,783.7,0,3.54
KAUPO,1990,415.64,2182.38,-149.75,0
KEALALOLOA,2013,29.46,341.42,0,0
KEALALOLOA,2019,27.2,452.23,0,-2.26
KEALALOLOA,1990,61.55,583.39,-33.22,0
KIPAHULU,2013,417.88,1759.02,0,0
KIPAHULU,2019,407.74,1035.86,0,-10.14
KIPAHULU,1990,666.59,2688.77,-253.78,0
KOHALA,2013,120.57,893.77,0,0
KOHALA,2019,150.42,640.08,0,29.85
KOHALA,1990,288.29,1154.2,-152.795,0
KONA HAW,2013,18.09,166.08,0,0
KONA HAW,2019,37.49,190.04,0,19.4
KONA HAW,1990,41.31,137.6,-13.52,0
KONA KAH,2013,4.95,13.95,0,0
KONA KAH,2019,23.18,84.49,0,18.23
KONA KAH,1990,43.18,130.17,-29.115,0
KONA KAU,2013,196.77,899.66,0,0
KONA KAU,2019,231.22,1400.54,0,34.45
KONA KAU,1990,216.16,1896.26,-2.165,0
KONA LAN,2013,37.43,96.74,0,0
KONA LAN,2019,56.51,191.38,0,19.08
KONA LAN,1990,63.3,251.8,-16.33,0
KONA MOL,2013,156.85,694.62,0,0
KONA MOL,2019,153.41,787.44,0,-3.44
KONA MOL,1990,283.26,1762.34,-128.13,0
KONA NIH,2013,0,0,0,0
KONA NIH,2019,0,0,0,0
KONA NIH,1990,0,0,0,0
KONA OAH,2013,171.07,799.47,0,0
KONA OAH,2019,152.44,499.07,0,-18.63
KONA OAH,1990,213.41,788.51,-51.655,0
KOOLAU KAH,2013,19.88,46.31,0,0
KOOLAU KAH,2019,28.25,111.05,0,8.37
KOOLAU KAH,1990,46.7,138.99,-22.635,0
KOOLAU KAU,2013,126.25,338.86,0,0
KOOLAU KAU,2019,143.88,429.28,0,17.63
KOOLAU KAU,1990,161.97,936.03,-26.905,0
KOOLAU LAN,2013,25.87,94.39,0,0
KOOLAU LAN,2019,37.62,203.86,0,11.75
KOOLAU LAN,1990,51.14,237.72,-19.395,0
KOOLAU MAU,2013,334.05,1704.63,0,0
KOOLAU MAU,2019,396.26,1202.59,0,62.21
KOOLAU MAU,1990,672.74,2659.21,-307.585,0
KOOLAU MOL,2013,58.15,329,0,0
KOOLAU MOL,2019,75.88,543.58,0,17.73
KOOLAU MOL,1990,123.17,657.59,-56.155,0
KOOLAU NIH,2013,0,0,0,0
KOOLAU NIH,2019,0,0,0,0
KOOLAU NIH,1990,0,0,0,0
KOOLAULOA,2013,188.59,1289.12,0,0
KOOLAULOA,2019,163.39,882.46,0,-25.2
KOOLAULOA,1990,233.97,1450.11,-57.98,0
KOOLAUPOKO,2013,156.86,983.93,0,0
KOOLAUPOKO,2019,133.72,624.81,0,-23.14
KOOLAUPOKO,1990,184.29,1203.6,-39,0
KULA,2013,16.79,56.69,0,0
KULA,2019,19.8,127.37,0,3.01
KULA,1990,38.19,180.13,-19.895,0
LAHAINA,2013,131.71,1391.09,0,0
LAHAINA,2019,123.12,1595.48,0,-8.59
LAHAINA,1990,186.93,1807.54,-59.515,0
MANA,2013,49.92,236.38,0,0
MANA,2019,52.45,239.69,0,2.53
MANA,1990,55.75,302.61,-4.565,0
NAPALI,2013,137.11,829.78,0,0
NAPALI,2019,144.75,811.81,0,7.64
NAPALI,1990,155.04,1071.12,-14.11,0
PALAAU,2013,43.33,329,0,0
PALAAU,2019,54.75,543.58,0,11.42
PALAAU,1990,85.26,657.59,-36.22,0
PUNA HAW,2013,194.68,815.85,0,0
PUNA HAW,2019,226.39,691.91,0,31.71
PUNA HAW,1990,423.6,1706.65,-213.065,0
PUNA KAU,2013,136.82,893.28,0,0
PUNA KAU,2019,170.24,1417.86,0,33.42
PUNA KAU,1990,153.79,1939.86,-0.26,0
PUNA NIH,2013,0,0,0,0
PUNA NIH,2019,0,0,0,0
PUNA NIH,1990,0,0,0,9
WAIALUA,2013,113.74,1289.12,0,0
WAIALUA,2019,113.65,882.46,0,-0.09
WAIALUA,1990,148.73,1450.11,-35.035,0
WAIANAE,2013,75.49,296.58,0,0
WAIANAE,2019,69.19,396.83,0,-6.3
WAIANAE,1990,105.1,484.17,-32.76,0
WAILUKU,2013,174.89,1366.98,0,0
WAILUKU,2019,146.29,1595.48,0,-28.6
WAILUKU,1990,286.47,1807.54,-125.88,0
