Moku,Mean Rainfall,Max Rainfall
EWA,115.89,1277.71
HALELEA,301.64,1353.79
HAMAKUA,360.48,876.22
HAMAKUALOA,398.82,968.4
HAMAKUAPOKO,82.28,255.18
HANA,280.22,861.26
HILO,561.5,1949.17
HONUAULA,NA,-Inf
KAANAPALI,292.54,1576.11
KAHIKINUI,NA,-Inf
KALAWA,289.13,2252.82
KALUAKOI,34.43,155.71
KAU,101.75,422.17
KAUPO,241.04,691.8
KEALALOLOA,41.77,865.41
KIPAHULU,280.88,887.13
KOHALA,209.15,768.3
KONA HAW,29.02,129.54
KONA KAH,11.73,44.17
KONA KAU,189.36,1309.34
KONA LAN,58.68,197.05
KONA MOL,229.25,2252.82
KONA NIH,NA,-Inf
KONA OAH,183.87,864.04
KOOLAU KAH,27.69,92.74
KOOLAU KAU,118.33,370.88
KOOLAU LAN,38.21,222.66
KOOLAU MAU,507.38,1352.77
KOOLAU MOL,65.71,275.16
KOOLAU NIH,NA,-Inf
KOOLAULOA,170.17,1254.45
KOOLAUPOKO,146.91,1124.37
KULA,23.22,126.15
LAHAINA,155.39,1576.11
MANA,25.36,176.56
NAPALI,135.36,611.6
PALAAU,44.32,275.16
PUNA HAW,295.73,1104.68
PUNA KAU,121.78,1353.79
PUNA NIH,NA,-Inf
WAIALUA,102.83,1232.6
WAIANAE,55.4,267.1
WAILUKU,213.41,1576.11
