year,geofips,county,linecode,sector,value,measure,description
2001,15001,"Hawaii, HI",83,Government and government enterprises,74.468,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2002,15001,"Hawaii, HI",83,Government and government enterprises,77.689,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2003,15001,"Hawaii, HI",83,Government and government enterprises,81.288,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2004,15001,"Hawaii, HI",83,Government and government enterprises,83.948,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2005,15001,"Hawaii, HI",83,Government and government enterprises,87.143,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2006,15001,"Hawaii, HI",83,Government and government enterprises,88.79,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2007,15001,"Hawaii, HI",83,Government and government enterprises,89.141,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2008,15001,"Hawaii, HI",83,Government and government enterprises,92.557,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2009,15001,"Hawaii, HI",83,Government and government enterprises,91.277,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2010,15001,"Hawaii, HI",83,Government and government enterprises,89.933,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2011,15001,"Hawaii, HI",83,Government and government enterprises,90.846,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2012,15001,"Hawaii, HI",83,Government and government enterprises,91.206,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2013,15001,"Hawaii, HI",83,Government and government enterprises,92.586,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2014,15001,"Hawaii, HI",83,Government and government enterprises,95.461,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2015,15001,"Hawaii, HI",83,Government and government enterprises,95.351,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2016,15001,"Hawaii, HI",83,Government and government enterprises,99.758,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2017,15001,"Hawaii, HI",83,Government and government enterprises,100,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2018,15001,"Hawaii, HI",83,Government and government enterprises,103.499,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Government and government enterprises
2001,15001,"Hawaii, HI",2,Private industries,64.55,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Private industries
2002,15001,"Hawaii, HI",2,Private industries,66.898,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Private industries
2003,15001,"Hawaii, HI",2,Private industries,72.199,"Chain-type quantity index for real GDP (2017 = 100), BEA CAGDP8",Private industries
